user_location,user_followers,retweet_count,favorite_count,user_verified,date,lang,text,hashtags,source
,324,10169,0,False,2020-05-18 18:57:55,en,"RT @encouragingRD: your summer body is the one that quarantined to flatten the curve, the one that fed a community, the one on the frontlin…",,Twitter Web App
México. 🇲🇽,159,1,0,False,2020-05-18 03:15:39,es,"En tiempos de covid- 19 
😬😅😂😂😂

#PobreKiwi https://t.co/YasX8v9Ioe",['PobreKiwi'],Twitter for iPhone
New Delhi/Washington DC/London,1000,10043,0,False,2020-05-18 18:08:24,en,"RT @SBSNews: India, Japan, Britain, Canada, New Zealand, Indonesia, Russia, and all 27 EU member states are backing Australia's push for a…",,Twitter for Android
"Paris, France",1420,3,0,False,2020-05-18 20:02:45,fr,RT @DrRahali_CybPsy: Ravie que mon Application d'auto évaluation #CORONAPHOBIA ait été utilisée avec mon accord par une plateforme français…,['CORONAPHOBIA'],Twitter Web App
"Westchester, NY",2307,2179,0,False,2020-05-18 17:04:57,en,RT @NoahShachtman: EXCLUSIVE: A military contractors’ report circulating in U.S. military &amp; intel networks claims to have evidence that COV…,,Twitter for iPad
United Arab Emirates,367,30,0,False,2020-05-18 10:10:53,en,RT @republic: COVID-19: Over 100 countries call on WHO for independent probe into pandemic https://t.co/bQ7DbEokBc,,Twitter for Android
,272,18,0,False,2020-05-18 00:18:10,en,"RT @ABC7NY: Is it too soon? On Saturday, warm weather drew crowds out in NYC as police patrolled parks and other public areas to ensure peo…",,Twitter for Android
"Kuching, Sarawak",9533,7,9,False,2020-05-18 09:26:33,in,"@JPenerangan @KKMPutrajaya @saifuddinabd @kkmm_gov RT @JPenerangan: Status Terkini COVID-19 Di Malaysia, 18 Mei 2020 

Sumber : @KKMPutrajaya

#COVID19
#KitaTeguhKitaMenang
#KomunikasiKita
#StayAtHome
#JabatanPenerangan 
#sodiakroks","['COVID19', 'KitaTeguhKitaMenang', 'KomunikasiKita', 'StayAtHome', 'JabatanPenerangan', 'sodiakroks']",Plume for Android
المملكة العربية السعوديةالرياض,303,25,0,False,2020-05-18 01:12:14,in,"RT @Kemlu_RI: #SahabatKemlu, berikut Perkembangan COVID-19 di Dunia &amp; Pelindungan WNI per 18/05 pkl 08.00 WIB.

Tambhn WNI terkonfirmasi #C…",['SahabatKemlu'],Twitter for Android
,157,248,0,False,2020-05-18 09:52:17,in,"RT @muhammadiyah: Tuntunan Salat Idulfitri di Tengah Pandemi Covid-19
#Muhammadiyah #BersatuHadangCorona #COVID19 #IdulFitri https://t.co/s…","['Muhammadiyah', 'BersatuHadangCorona', 'COVID19', 'IdulFitri']",Twitter for Android
"Ontario, Canada",671,105,0,False,2020-05-18 21:23:01,en,"RT @CNNPolitics: President Trump claimed he is taking hydroxychloroquine, despite the fact that he's said he is negative for Covid-19 and s…",,Twitter for iPhone
"London, England",165,0,0,False,2020-05-18 11:49:50,en,"Barbicide covid-19 training ready and refreshed for when we go back... Hopefully not long 🤞🙏
.
.
.
#covid19 #healthandsafety #barbicidecertified #barbicidecertification @ London, United Kingdom https://t.co/a8fgbYwAIz","['covid19', 'healthandsafety', 'barbicidecertified', 'barbicidecertification']",Instagram
"Ibadan, Nigeria",549,440,0,False,2020-05-18 12:13:32,en,"RT @horusblog: Covid-19: Bauchi government discharges 20 patients. 
https://t.co/ow24mhwrkg",,Twitter for Android
"Central Java, Indonesia",3320,0,0,False,2020-05-18 01:42:20,in,"Keguguran Saat Wabah Covid-19, Jane Shalimar Rutin ke Dokter Hingga Jalani Rapid Tes, Ini Hasilnya - https://t.co/NC79XKa6vb

#INDONESIA",['INDONESIA'],IDCorner.Co.iD
God’s Country,1521,217,0,False,2020-05-18 01:33:31,en,"RT @TxGodmotherIII: The COVID Family values 

No souls.... https://t.co/opXyB2mU4z",,Twitter for Android
"Ossining, NY",3046,0,3,False,2020-05-18 19:46:06,en,College Admissions &amp; COVID.  Join us for this special event- https://t.co/j59OYfCZyT,,Twitter Web App
,28,1,1,False,2020-05-18 14:05:37,es,"Pregunta seria??
Están quitando inmobiliario de los Centros de Salud, para equipar Nuevo HGC COVID??
@EEncinas_Dr 
@QuirinoOC 
@HLGatell",,Twitter for Android
"Dallas, TX",850,0,0,False,2020-05-18 21:20:21,en,"Effect of COVID-19 Antibacterial Soap Market 2020 Global Share, Growth, Size, Opportunities, Trends, Regional Overview, Leading Company Analysis, Key Country Forecast 2026 https://t.co/OgudWWSF8d",,WordPress.com
"Redhill, England",2480,0,6,False,2020-05-18 12:57:28,en,"At Raven, we've produced a short video to show our response to COVID-19. This video describes how we've protected staff, our customers &amp; how we've supported vulnerable residents. We've changed how we work to continue Building Homes &amp; Changing lives!

#COVID19 #InThisTogether https://t.co/1cgafOWckr","['COVID19', 'InThisTogether']",Twitter Web App
"Umarizal, Belém",2380,5441,0,False,2020-05-18 23:48:50,pt,"RT @BolsonaroSP: Na tarde de hoje, João Doria afirmou que São Paulo não vai receitar o uso de cloroquina para pacientes de COVID-19 mesmo q…",,Twitter for iPhone
PR,224,96,0,False,2020-05-18 22:43:08,en,"RT @DavidBegnaud: President Trump says he’s taking hydroxychloroquine to prevent #COVID19 because he heard “good things about it.”

The FDA…",['COVID19'],Twitter for iPhone
,1069,89,0,False,2020-05-18 09:42:31,es,"RT @jmlopezzafra: La última llegar, publicada ayer mismo. Empleando una metodología alternativa a las anteriores, mediante ciencia de datos…",,Twitter for Android
Madrid,4291,0,0,False,2020-05-18 09:29:00,es,"@eldiarioes El covid ha matado a muchos ancianos en residencias (donde está aproximadamente un 4% de los ancianos) pero ha matado como una gripe al resto de la población.

Por eso debemos ser liberados YA, y hay que investigar qué ha pasado en las residencias. https://t.co/oCDYTtqyLO",,Twitter Web App
,140,507,0,False,2020-05-18 03:46:31,en,"RT @CNN: The novel coronavirus can infect organs throughout the body, including lungs, throat, heart, liver, brain, kidneys and the intesti…",,Twitter for iPhone
Pakistan,2749,0,2,False,2020-05-18 17:52:27,en,"#Pakistan only country where its #SupremeCourt orders to open the markets and shopping halls.
#Covid_19","['Pakistan', 'SupremeCourt', 'Covid_19']",Twitter for Android
"Pare, Indonesia",755,0,0,False,2020-05-18 05:22:29,in,"KONFERENSI PERS GUGUS TUGAS PERCEPATAN COVID-19 PEMERINTAH JAWA TIMUR

Pandemi Covid-19 di Jawa Timur Saat ini ada penambahan 62 Kasus Baru, 25 sembuh baru dan 15 meninggal dunia. 
#siagacorona 
#poldajatimsurabaya https://t.co/1QntRx2nR5","['siagacorona', 'poldajatimsurabaya']",Twitter for Android
Southern hemisphere,16038,1,0,False,2020-05-18 02:20:55,en,RT @ShaneOliverAMP: Aust ABS Household Impacts of Covid survey found that 94% of Australian’s are continuing to keep their distance from pe…,,Mobile Web (M2)
"Evansville, Indiana",227,4,0,False,2020-05-18 21:41:54,en,RT @14News: Farbest Foods confirms over 100 employees test positive for COVID-19. &gt;&gt;&gt; https://t.co/3DimcUd6Wc,,Twitter for iPhone
"Chicago, Illinois",2064,98,0,False,2020-05-18 10:37:00,en,RT @NBCNews: The coronavirus pandemic has exposed a structural vulnerability to biological attacks in the U.S. and Europe that requires urg…,,Twitter for iPad
France and Worldwide,2002,3,0,False,2020-05-18 14:21:07,fr,"RT @zanavant: NON A LA CASSE COVID DU DROIT DU TRAVAIL
 ET DE NOS CONQUIS SOCIOS https://t.co/Lp1Ml2XdQn",,Twitter Web App
Mexico,363,3,0,False,2020-05-18 20:32:22,es,"RT @efraimacosta: Scouts en tiempos del CoViD I: Reir y cantar en las dificultades

Reflexiones de Domingo ante esta crisis

https://t.co/2…",,Twitter for Android
