user_location,user_followers,retweet_count,favorite_count,user_verified,date,lang,text,hashtags,source
Brasília,1718,22085,0,False,2020-03-13 02:24:41,pt,"RT @baianolol1: Para evitar a transmissão do coronavírus evite fazer festa com mais de 20 convidados

Só COVID-19

👍",,Twitter for iPhone
,2210,27,0,False,2020-03-13 05:54:16,en,RT @chhuti_is: I so miss UPA 1. I would do anything to bring those days back. #BlackFriday #Covid_19 #Sensex,"['BlackFriday', 'Covid_19', 'Sensex']",Twitter Web App
Puerto Rico,1151,58863,0,False,2020-03-13 18:30:34,en,"RT @GhaydaaSamaan: Earth is taking a break, a much needed break.

#CoronaVirusUpdate #Covid_19 
#كورونا https://t.co/61a7tAJD3I","['CoronaVirusUpdate', 'Covid_19', 'كورونا']",Twitter for iPhone
"Belém, Pará",3920,9533,0,False,2020-03-13 17:15:15,pt,"RT @OskarSays: BOLSONARO DEU negativo para covid-19.

O boato de que havia testado positivo partiu do Planalto. 

AGORA DIRÃO que a imprens…",,Twitter for iPhone
,249,42495,0,False,2020-03-13 14:28:45,en,RT @SOUTHSKTH: reminder that there are actual businesses owned across america by chinese people that are hurting immensely because of the r…,,Twitter for iPhone
"Maldonado, Uruguay",10,0,0,False,2020-03-13 20:16:09,es,Llego COVID-19 a uruguay,,Twitter for Android
chorando,799,233,0,False,2020-03-13 09:27:27,pt,"RT @VittorGuidoni: tenho aula com gente que trabalha em hospital todo dia

uma criança teve caso confirmado de COVID-19 aqui, significando…",,Twitter for Android
Blighttown,1305,13,0,False,2020-03-13 21:16:34,en,"RT @salmaanoooo: We love you COVID, we do https://t.co/Dfw7CRUYCW",,Twitter Web App
,312,42029,0,False,2020-03-13 00:12:38,th,RT @SKdentMed: มันเป็นไปได้ยังไงที่อุณหภูมิมนุษย์จะ 28.5 องศาเซลเซียส (สมมติว่าไอ้เหี้ยนี่เป็นมนุษย์นะ) แปลว่าถ้ามึงใช้เครื่องนี่ screen มึ…,,Twitter for iPhone
"Indiana, USA",3362,7499,0,False,2020-03-13 00:07:29,en,"RT @charliekirk11: This media hysteria over China Virus is irresponsible.

Disease deaths per day worldwide:

COVID-19—56

Seasonal Flu—1,0…",,Twitter Web App
,384,25,0,False,2020-03-13 21:14:58,en,"RT @kuhnmo: It has been established now that, importantly also unlike the Spanish flu, #COVID-19 is particularly deadly for the elderly and…",['COVID'],Twitter Web App
"Chiang Mai, Thailand",461,113,0,False,2020-03-13 07:55:02,th,"RT @Workpoint_Ent: แมทธิว ดีน ติดเชื้อไวรัสโควิค-19 ! 
หลังประกาศผ่าน IG ส่วนตัว “ไม่ได้ล้อเล่นครับ เรื่องจริงครับผมใครที่สัมผัสผมในช่วงสาม…",,Twitter for iPhone
,5,1,0,False,2020-03-13 19:16:26,en,RT @openletterbot: 🖋 Support Suzanne by signing “COVID-19 relief aid” and I’ll deliver a copy to your officials too: https://t.co/Ut0KzBPO2…,,Twitter for Android
Manila ,347,4802,0,False,2020-03-13 05:53:34,en,RT @Javiercrombie: The fact that Duterte took a minute to give Bong Go’s ego a boner instead of thanking the UP scientists who developed th…,,Twitter for iPhone
"New York, NY",273,112,0,False,2020-03-13 02:22:29,en,"RT @NYCMayorsOffice: Today, @NYCMayor declared a state of emergency in response to COVID-19.

Here's what you need to know — and go to http…",,Twitter for iPhone
Leamington Spa,50,361,0,False,2020-03-13 07:12:28,en,"RT @wozaboxa: Not sure if it’s just me but every time I here COVID 19, I expect to hear ASTON VILLA 0 on the end.",,Twitter for iPhone
Pittsburgh,1218,2,0,False,2020-03-13 13:27:49,en,"RT @AlleghenyGreens: The GPOAC has signed on to the attached open letter authored by the Pittsburgh DSA regarding COVID-19. The homeless, s…",,Twitter for Android
IG : mosneto,410,64954,0,False,2020-03-13 09:25:23,th,RT @jjjjjijjjjijj: บนค่ะ ถ้าถ้าประยุทธ์ติดเชื้อ กูแจก 1000 บาท #ผนงรจตกม #Covid_19 https://t.co/VOBodbI7tf,"['ผนงรจตกม', 'Covid_19']",Twitter for iPhone
debajo de tu cama,72,2,0,False,2020-03-13 21:32:30,ca,RT @marinabm2001: La meva mare és infermera. Avui és el primer dia de quarantena pel #Covid_19 i la meva mare només arribar (ha arribat a l…,['Covid_19'],Twitter for Android
,11,83326,0,False,2020-03-13 17:14:46,th,"RT @bomb_tanin_tv3: วันนี้ผมไปตรวจcovid-19มา คุณหมอบอกว่า ผลการตรวจจะได้พรุ่งนี้ประมาณเที่ยง แต่ที่ตกใจคือ ค่าตรวจ 7,500 บาท ผมไม่มีปัญหาหร…",,Twitter for iPhone
ประเทศไทย,307,13339,0,False,2020-03-13 08:25:20,th,RT @wangsquirtle: รร.นานาชาติISBแจ้งข่าวว่าGrandparentนร.ISBติดCovid-19 ทุกคนในบ้านไม่มีประวัติเดินทางไปปท.เสี่ยงช่วงกพ. Grandparentไม่เคยม…,,Twitter for iPhone
"Pompano Beach, FL",599,451,0,False,2020-03-13 20:15:17,en,RT @AP_Trevor: The health and safety of students and educators is our top priority.  To support #AP communities that experience substantial…,['AP'],Twitter Web App
Blaq Trinity ,343,371,0,False,2020-03-13 05:54:17,en,RT @nowthisnews: ‘I just couldn’t get enough air’ — Listen to this coronavirus survivor explain what it’s really like to contract COVID-19…,,Twitter for Android
,448,304,0,False,2020-03-13 02:39:38,es,"RT @TITORODRIGUEZZ: POR EL CHAVISMO, la malaria retornó a Venezuela luego de 50 años de erradicada, pero, según el narco dictador Maduro es…",,Twitter for Android
Mourning @RichardThandie,23,177244,0,False,2020-03-13 15:12:57,en,RT @lincolnjackd: Just a reminder: it’s okay to blame the  president for how bad things get with COVID-19 because he fired the entire pande…,,Twitter for Android
"dinky ass town, MI",238,712,0,False,2020-03-13 04:26:35,en,"RT @AbdulElSayed: #Covid_19 will find every social crevice in our society &amp; crack it open. 

Homelessness, healthcare inaccess, gig work, d…",['Covid_19'],Twitter for Android
Milkyway Galaxy,5898,6237,0,False,2020-03-13 16:12:53,en,"RT @FootyHumour: ""We will win the quadruple""
Aston Villa 5-0 Liverpool

""We will go unbeaten""
Watford 3-0 Liverpool

""We will win the trebl…",,Twitter for Android
,285,35,0,False,2020-03-13 15:12:31,th,RT @pearizzq: ในเมื่อผู้นำพึ่งพาไม่ได้ ก็ต้องsaveตัวเองกันนะทุกคน #Covid_19 #ผนงรจตกม #แมทธิวดีน #CoronaVirusUpdate https://t.co/j5VSB0eROM,"['Covid_19', 'ผนงรจตกม', 'แมทธิวดีน', 'CoronaVirusUpdate']",Twitter for iPhone
Brasil,156,4880,0,False,2020-03-13 03:23:30,pt,"RT @gabibianco: Bem, o IMBECIL que se recusava a fazer exame de coronga em Brasilia e também a se isolar acabou fazendo o teste e adivinha:…",,Twitter for Android
,1335,8,0,False,2020-03-13 15:43:07,en,"RT @GottaSaveBucky: @YGatens @GOPChairwoman @realDonaldTrump Nope. tRump completely dismantled the US Pandemic Response Team, starting back…",,Twitter Web App
"Sainte-Suzanne, La Réunion",262,43,0,False,2020-03-13 14:14:08,fr,"RT @ChelseaFrance: Il va falloir suspendre le championnat et très vite, pour la santé des joueurs, coachs, employés des clubs, spectateurs.…",,Twitter for Android
"Bordeaux, France",239,4,0,False,2020-03-13 05:59:54,fr,"RT @IndecisD: https://t.co/4BSqKM4ijJ
#Bordeaux #Municipales2020 #Covid_19 

A ce jour 9 cas en #Gironde 

@nflorian33 @avecNFlorian33 @ala…","['Bordeaux', 'Municipales2020', 'Covid_19', 'Gironde']",Twitter for iPhone
"Toronto, Ontario",640,709,0,False,2020-03-13 19:14:48,en,"RT @ABC: Trudeau says Canada is ""pulling out all the stops"" to respond to COVID-19.

""I know that you're worried. You're worried about your…",,Twitter for Android
"São Paulo, Brasil",1301,54,0,False,2020-03-13 03:28:28,pt,"RT @sinaisgurizinho: se o luan cancelasse o atendimento no camarim por causa do covid: NOSSA, NÃO PENSA NOS FÃS
ele atende os fãs de máscar…",,Twitter for Android
Buenos Aires,2325,4442,0,False,2020-03-13 21:16:02,es,RT @alferdez: Les comparto el mensaje que di ayer en Cadena Nacional con las nuevas medidas que adoptaremos para combatir el coronavirus CO…,,Twitter for Android
"Hell In A Handbag, But It's Gucci",12525,62,0,False,2020-03-13 08:30:14,en,"RT @theEUpost: 🇮🇹 Italian President of Republic Sergio Mattarella @Quirinale on Lagarde’s words: “#Italy needs solidarity, not obstacles!”…",['Italy'],Twitter Web App
From the Port to the D,223,6,0,False,2020-03-13 15:44:13,en,"RT @deanondraft: I am 34 and hardly ever get sick. If I get covid-19, it will almost certainly be mild. I am gonna be fine

But that makes…",,Twitter for iPhone
,620,167,0,False,2020-03-13 17:15:43,en,RT @WHO: The new #coronavirus disease Solidarity Response Fund will raise money from a wide range of donors to support the work of the WHO…,['coronavirus'],Twitter for Android
INDONESIA ✗,2415,3870,0,False,2020-03-13 04:40:54,in,RT @aniesbaswedan: WHO telah menetapkan COVID-19 sebagai pandemi global. Di Jakarta pun telah ditemukan kasus positif. Mari bersama-sama ki…,,Twitter for iPhone
녅짽♡,584,36821,0,False,2020-03-13 09:43:32,th,"RT @lalelulilosa: เฟส 3 แล้วค่ะ จากใจพยาบาล...ไม่พูดเยอะเพราะพูดไปก็คงไม่จบ เงิน 1,600 + ค่าเสี่ยง 350 ยังไม่พอซื้อ mask ป้องกันตัวเองเลยค่…",,Twitter for iPhone
United States of America.,1166,4942,0,False,2020-03-13 01:25:45,en,"RT @w_terrence: AOC IS A LIAR!

People are mad at me for proving her wrong! People are still eating at Chinese restaurants

The people who…",,Twitter for Android
,249,40390,0,False,2020-03-13 08:30:14,th,"RT @Chu_OnlineNews: BREAKING : ด่วน! “แมทธิว ดีน” ติดเชื้อ COVID-19 

เจ้าตัวได้โพสต์คลิปผ่านไอจีว่า ตัวเองติดเชื้อไวรัสโคโรนา ขอให้คนใกล้…",,Twitter for iPhone
Global,9900,0,0,False,2020-03-13 20:30:43,en,#covid-19 Status #Deutschland 13.03.2020 : https://t.co/73MH6Iq8mO,"['covid', 'Deutschland']",Twitter Web App
,1819,0,0,False,2020-03-13 10:55:27,en,@mm_tw9 @SkyNewsBreak Hopefully it will be similar here: people who've already have COVID-19 can't get it again and pass it to the vulnerable. This is actually ok as far as it goes... 5/,,Twitter Web App
,142,215,0,False,2020-03-13 01:25:00,en,RT @irfan_adlan03: Covid-19 is cancelling everything except school. You're really cherrypicking huh,,Twitter for iPhone
:),186,4,4,False,2020-03-13 17:30:14,en,"there are so many people who are being put at risk because of dcccd’s inaction. once someone in the district tests positive that person has been sick for TWO WEEKS! and that’s assuming they are tested as soon as they develop symptoms which is unlikely
https://t.co/drRNs0tWK0",,Twitter for iPhone
,11,436,0,False,2020-03-13 04:57:19,tr,RT @fevrisosyolog__: otogarlardaki yoğunlaşmayı eleştirdim diye yemediğim laf kalmadı. İtalya'da okuyan Kıbrıslı genç italya'da virüsün nas…,,Twitter for iPhone
