user_location,user_followers,retweet_count,favorite_count,user_verified,date,lang,text,hashtags,source
"England, United Kingdom",1,0,0,False,2020-05-28 11:40:26,en,@SteveSpeirs4 @rickygervais Stay strong mate...I suffer anxiety and I work on the front line nursing covid patients...I’m up and down..you were great in extras.Keep up the good work Steve...life is hard in normal times so it’s 10 times worse...,,Twitter for iPhone
"Mumbai, India",642,50,0,False,2020-05-28 14:40:33,en,"RT @RangDeTiranga: What if #SambitPatra is faking his COVID 19 symptoms to escape legal actions of Chattisgarh Police?

Sambit Patra has be…",['SambitPatra'],Twitter for iPhone
Sydney,8952,2,0,False,2020-05-28 00:02:59,en,RT @legalvision_au: Join us 1pm AEST today and hear from Lachlan McKnight (LegalVision CEO) and @jamesdcameron (Partner at @airtreevc) as t…,,Twitter for iPhone
"Bogotá, D.C., Colombia",86,34,0,False,2020-05-28 02:31:58,es,"RT @felipeangell: Esta es una de las gráficas más poderosas y contundentes en este momento. 

Pacientes covid potivos según la fecha de ini…",,Twitter for Android
Canada,1604,764,0,False,2020-05-28 21:39:37,en,RT @JoyceWhiteVance: Alabama's League of Women Voters has sued the Governor &amp; Secy of State in state court asking that the same emergency p…,,Twitter for iPad
,11124,0,0,False,2020-05-28 09:58:13,en,"@brokenbottleboy Matt Hancock , Dominic Cummings , Boris Johnson #COVID19 
https://t.co/OGscg25vXA",['COVID19'],Twitter for Android
,65,35,0,False,2020-05-28 21:28:53,fr,"RT @PeterOtool1: Bonjour @ArrudaHoracio ,

J'ai appris par les médias que vous avez autorisé l'ouverture des jeux d'eau uniquement pendant…",,Twitter for Android
"Harrisburg, PA",103861,0,0,True,2020-05-28 22:28:24,en,"Meat processing plants have become hot spots for infections in communities across the country, but most have stayed open since President Donald Trump’s executive order a month ago declaring them critical infrastructure. https://t.co/MJJggYoEAP",,SocialNewsDesk
United Kingdom,215,2666,0,False,2020-05-28 00:20:25,en,"RT @bengoldacre: OUR NEW PAPER.

Factors associated with COVID-19-related hospital death in the linked electronic health records of 17 MILL…",,Twitter for iPhone
"Las Vegas, NV",556,3,0,False,2020-05-28 15:24:59,en,"RT @HOBrien_Author: @GovSisolak Why test if you have no symptoms?

Asymptomatic carriers don't spread COVID.

Thought you were a ""science""…",,Twitter for Android
