user_location,user_followers,retweet_count,favorite_count,user_verified,date,lang,text,hashtags,source
"Islamabad, Pakistan",378,38,0,False,2020-07-21 18:24:31,en,"RT @SumaiyaMalik550: We are worried about our whole year and specially our health in this critical condition of covid-19
#PromoteAllCategor…",,Twitter for Android
Planet Earth,1957,0,2,False,2020-07-21 23:35:03,en,@DianaGeorgina15 And Trump wants to cut payroll taxes with the next COVID relief bill?  Payroll taxes support Medicare.  Yup.  He's a real genius.,,Twitter Web App
Ciudad de México,300,159,0,False,2020-07-21 04:38:14,es,"RT @c4jimenez: LLEVAN MESES ""ENFERMOS""
Hace casi 3 meses estos elementos de @PDI_FGJCDMX organizaron un OPERATIVO IRREGULAR para detener a…",,Twitter for Android
Panama city,327,0,0,False,2020-07-21 23:56:20,es,"@elcuaracom Esas muertes por coronavirus a mi en lo personal no me cuadran , si hay negociado siempre en todo  gobierno , no me extrañaría que con los difuntos por muerte natural le pongan Covid para lucrar con la funeraria encargada de las cremaciones , es mi perpectiva @elcuaracom",,Twitter for Android
"Paso de los Toros, UY",2726,104,0,False,2020-07-21 09:57:51,en,RT @Reuters: Possible but not certain COVID-19 vaccine rolled out this year: Oxford developer https://t.co/35xSQZNCFn https://t.co/Yc1ZmTA6…,,Twitter Web App
"Las Vegas, NV",83,6993,0,False,2020-07-21 22:50:55,en,"RT @RyanAFournier: Instead of releasing violent prisoners from jail due to COVID concerns,

Why didn't they just give them masks if they're…",,Twitter for Android
,1374,1105,0,False,2020-07-21 10:29:58,es,RT @SoyArellan: Creo que el momento es sensible y serio con los casos de covid en el canal como para aprovechar el evento y cargar contra e…,,Twitter for Android
"San Juan de los Morros, VE",41512,4,4,False,2020-07-21 16:49:50,es,"La empresa Alimentos del #Guárico, como otras instituciones celebró Día del Niño, bajo estrictas medidas de seguridad por el Covid-19.
https://t.co/t2FwzWL3oe  @EmilioAvila_ https://t.co/8fMuNEFlGt",['Guárico'],Twitter Web App
,701,390,0,False,2020-07-21 14:41:18,en,"RT @McguireScotty: DEAR MR. PRESIDENT,
@realDonaldTrump 
Please send out some covid-19 tests that cannot possibly come back positive.

See…",,Twitter for iPhone
UK,535,0,0,False,2020-07-21 19:28:15,en,@Rob1Obrien @goldstone_tony @RishiSunak @MattHancock @BorisJohnson Husband got increment this year no carry over due to taper and previously done 12 PAs for NHS no private practice we're expecting big AA bill and Covid extra hours payments prob mean no allowance too.,,Twitter for Android
"Cambridge, MA; CT; wherever",6461,12,0,False,2020-07-21 16:40:07,en,"RT @PGourevitch: ""The number of people infected with the coronavirus in different parts of the U.S. is anywhere from two to 13 times higher…",,Twitter Web App
,2223,740,0,False,2020-07-21 20:01:53,en,RT @SenKamalaHarris: Many people of color don’t receive the same quality of health care as others and we cannot allow this to continue. Las…,,Twitter for iPhone
,204,4299,0,False,2020-07-21 11:06:05,en,"RT @SethAbramson: BREAKING NEWS: As the White House Usurps COVID-19 Data Collection from the CDC, Evidence Suggests GOP-Led Entities Are Hi…",,Twitter for Android
Brasil,389,34,0,False,2020-07-21 04:52:07,pt,"RT @olhardigital: Dois pacientes em São Paulo, que haviam se curado da Covid-19 em maio, voltaram a testar positivo para a doença. https://…",,Twitter for Android
"Trieste, Friuli-Venezia Giulia",131,106,0,False,2020-07-21 05:54:21,en,"RT @AdrienneACox: I suspended my PhD when volunteers were needed in covid testing labs.

I lived in a hotel room for 3 months. My mental he…",,Twitter for Android
,1568,1,7,False,2020-07-21 06:39:03,en,Govt has tightened lockdown regulations following a spike in Covid-19 cases in the country with police starting to demand exemption letters from those entering city centres.@_CCZim @CONcitizens @zimlocals @EddieGore10 @RMuzezuru @Wamagaisa @JaydenGuma @zanupf_patriots @Teechihuri https://t.co/XpKM93cDOa,,Twitter for Android
,29,778,0,False,2020-07-21 17:31:49,en,"RT @WSJ: Walmart said it will close stores on Thanksgiving Day this year, in another indication of how retailers are shifting business prac…",,Twitter for iPhone
